Datum	2021-02-18
Zeit	14:25:18

KSP-h(max)[m]	Zeile-Schnitt(alle_Daten)	Zeile_Schnitt(MM-Daten)
0.28	4020	311


Kistler-basierte Maximalwerte
Fz_max[N]	I_max[Ns]	v_max[m/s]	P_abs_max[W]	P_rel_max[W]
4643.951	770.388	11.09	15601.687	224.592
myoMOTION-basierte Maximalwerte
Fz_max[N]	I_max[Ns]	v_max[m/s]	P_abs_max[W]	P_rel_max[W]
4623.2	652.27	9.39	15256.305	219.62


# Zeit[Hz]	Kraft[N]	Impuls[Ns]	Geschw[m/s]	P_abs[W]	P_rel[W]
189.000000	802.271000	15.826000	0.228000	182.779000	2.631000
190.000000	802.271000	15.907000	0.229000	183.711000	2.645000
191.000000	801.943000	15.987000	0.230000	184.562000	2.657000
192.000000	801.609000	16.068000	0.231000	185.413000	2.669000
193.000000	801.943000	16.148000	0.232000	186.414000	2.683000
194.000000	801.609000	16.228000	0.234000	187.265000	2.696000
195.000000	801.609000	16.308000	0.235000	188.186000	2.709000
196.000000	801.609000	16.388000	0.236000	189.113000	2.722000
197.000000	801.609000	16.468000	0.237000	190.034000	2.736000
198.000000	801.609000	16.549000	0.238000	190.962000	2.749000
199.000000	801.307000	16.628000	0.239000	191.810000	2.761000
200.000000	801.609000	16.709000	0.241000	192.807000	2.776000
201.000000	800.979000	16.788000	0.242000	193.575000	2.787000
202.000000	801.307000	16.868000	0.243000	194.575000	2.801000
203.000000	800.976000	16.948000	0.244000	195.414000	2.813000
204.000000	801.277000	17.028000	0.245000	196.407000	2.827000
205.000000	800.972000	17.107000	0.246000	197.252000	2.840000
206.000000	800.972000	17.187000	0.247000	198.170000	2.853000
207.000000	800.972000	17.267000	0.249000	199.089000	2.866000
208.000000	800.972000	17.346000	0.250000	200.008000	2.879000
209.000000	800.972000	17.426000	0.251000	200.927000	2.892000
210.000000	800.972000	17.506000	0.252000	201.845000	2.906000
211.000000	800.972000	17.585000	0.253000	202.764000	2.919000
212.000000	800.972000	17.665000	0.254000	203.682000	2.932000
213.000000	800.972000	17.745000	0.255000	204.601000	2.945000
214.000000	800.972000	17.824000	0.257000	205.519000	2.959000
215.000000	800.638000	17.904000	0.258000	206.351000	2.970000
216.000000	800.685000	17.983000	0.259000	207.278000	2.984000
217.000000	801.026000	18.063000	0.260000	208.284000	2.998000
218.000000	801.026000	18.143000	0.261000	209.203000	3.012000
219.000000	800.691000	18.222000	0.262000	210.034000	3.024000
220.000000	800.691000	18.302000	0.263000	210.949000	3.037000
221.000000	800.979000	18.381000	0.265000	211.943000	3.051000
222.000000	800.691000	18.461000	0.266000	212.784000	3.063000
223.000000	800.691000	18.540000	0.267000	213.701000	3.076000
224.000000	801.319000	18.620000	0.268000	214.786000	3.092000
225.000000	801.032000	18.700000	0.269000	215.631000	3.104000
226.000000	801.319000	18.780000	0.270000	216.627000	3.118000
227.000000	801.319000	18.860000	0.271000	217.550000	3.132000
228.000000	801.032000	18.939000	0.273000	218.391000	3.144000
229.000000	801.319000	19.019000	0.274000	219.391000	3.158000
230.000000	801.617000	19.099000	0.275000	220.395000	3.173000
231.000000	801.617000	19.179000	0.276000	221.320000	3.186000
232.000000	801.617000	19.259000	0.277000	222.243000	3.199000
233.000000	801.283000	19.339000	0.278000	223.075000	3.211000
234.000000	801.283000	19.419000	0.280000	223.994000	3.224000
235.000000	801.283000	19.499000	0.281000	224.917000	3.238000
236.000000	801.623000	19.579000	0.282000	225.934000	3.252000
237.000000	801.623000	19.659000	0.283000	226.860000	3.266000
238.000000	801.623000	19.739000	0.284000	227.782000	3.279000
239.000000	801.623000	19.819000	0.285000	228.709000	3.292000
240.000000	801.964000	19.899000	0.286000	229.729000	3.307000
241.000000	801.964000	19.980000	0.288000	230.659000	3.320000
242.000000	801.964000	20.060000	0.289000	231.584000	3.334000
243.000000	802.891000	20.141000	0.290000	232.786000	3.351000
244.000000	802.891000	20.222000	0.291000	233.721000	3.364000
245.000000	802.563000	20.303000	0.292000	234.561000	3.377000
246.000000	802.891000	20.383000	0.293000	235.589000	3.391000
247.000000	803.232000	20.465000	0.295000	236.628000	3.406000
248.000000	803.232000	20.546000	0.296000	237.565000	3.420000
249.000000	803.232000	20.627000	0.297000	238.505000	3.433000
250.000000	803.572000	20.708000	0.298000	239.544000	3.448000
251.000000	803.572000	20.790000	0.299000	240.488000	3.462000
252.000000	803.572000	20.871000	0.300000	241.428000	3.475000
253.000000	803.870000	20.953000	0.302000	242.462000	3.490000
254.000000	803.870000	21.034000	0.303000	243.405000	3.504000
255.000000	804.199000	21.116000	0.304000	244.452000	3.519000
256.000000	804.199000	21.198000	0.305000	245.398000	3.533000
